country_text_id,year,gdp,gdppc
MEX,1984,93562.796,11.664
MEX,1985,94259.453,11.476
MEX,1986,92750.057,11.053
MEX,1987,93219.868,10.902
MEX,1988,94687.383,10.842
MEX,1989,98144.765,11.044
MEX,1990,103254.47,11.389
MEX,1991,107374.498,11.635
MEX,1992,111533.16,11.883
MEX,1993,114611.243,11.983
MEX,1994,117157.052,12.043
MEX,1995,115510.527,11.742
MEX,1996,120465.905,12.059
MEX,1997,128107.672,12.58
MEX,1998,134085.65,12.948
MEX,1999,140121.037,13.346
MEX,2000,145205.837,13.653
MEX,2001,146993.282,13.645
MEX,2002,148549.323,13.635
MEX,2003,151035.138,13.713
MEX,2004,156577.853,14.061
MEX,2005,162093.745,14.332
MEX,2006,167391.97,14.584
MEX,2007,171691.031,14.729
MEX,2008,174203.808,14.771
MEX,2009,171738.827,14.425
MEX,2010,178865.495,14.779
MEX,2011,185824.148,15.128
MEX,2012,192272.433,15.415
MEX,2013,196479.952,15.571
MEX,2014,201281.185,15.737
MEX,2015,208135.615,16.113
MEX,2016,213083.541,16.32
MEX,2017,219230.045,16.647
MEX,2018,224761.792,16.885
MEX,2019,224999.494,16.814
MEX,2020,NA,NA
MEX,2021,NA,NA
MEX,2022,NA,NA
SUR,1984,285.996,7.428
SUR,1985,294.017,7.491
SUR,1986,294.575,7.418
SUR,1987,288.262,7.169
SUR,1988,303.434,7.379
SUR,1989,319.478,7.573
SUR,1990,329.688,7.687
SUR,1991,336.692,7.682
SUR,1992,338.03,7.59
SUR,1993,327.057,7.243
SUR,1994,329.973,7.183
SUR,1995,329.36,7.095
SUR,1996,346.89,7.303
SUR,1997,365.655,7.539
SUR,1998,373.484,7.617
SUR,1999,368.264,7.492
SUR,2000,383.323,7.671
SUR,2001,401.869,7.932
SUR,2002,423.11,8.25
SUR,2003,450.539,8.667
SUR,2004,483.912,9.156
SUR,2005,509.797,9.545
SUR,2006,540.601,10.008
SUR,2007,572.448,10.481
SUR,2008,605.09,10.918
SUR,2009,634.753,11.29
SUR,2010,671.686,11.815
SUR,2011,714.136,12.351
SUR,2012,742.604,12.672
SUR,2013,760.19,12.831
SUR,2014,764.718,12.786
SUR,2015,742.243,12.304
SUR,2016,710.712,11.779
SUR,2017,719.69,11.76
SUR,2018,725.736,11.705
SUR,2019,730.714,11.752
SUR,2020,NA,NA
SUR,2021,NA,NA
SUR,2022,NA,NA
SWE,1984,23544.169,26.599
SWE,1985,24244.667,27.363
SWE,1986,25005.975,28.122
SWE,1987,25858.178,28.924
SWE,1988,26537.245,29.563
SWE,1989,27199.201,30.123
SWE,1990,27578.391,30.348
SWE,1991,27636.787,30.18
SWE,1992,27420.476,29.787
SWE,1993,27087.758,29.357
SWE,1994,28006.518,30.079
SWE,1995,29133.799,31.085
SWE,1996,29799.036,31.746
SWE,1997,30915.505,32.894
SWE,1998,32149.486,34.167
SWE,1999,33697.994,35.744
SWE,2000,34848.105,36.902
SWE,2001,35565.512,37.555
SWE,2002,36048.567,38.117
SWE,2003,36998.107,38.849
SWE,2004,38503.913,40.198
SWE,2005,39407.931,41.079
SWE,2006,41082.038,42.378
SWE,2007,42419.981,43.362
SWE,2008,42819.153,43.457
SWE,2009,42150.206,42.656
SWE,2010,43313.293,43.325
SWE,2011,44310.557,43.82
SWE,2012,44666.959,43.817
SWE,2013,45157.203,43.978
SWE,2014,46481.02,44.924
SWE,2015,48165.803,45.983
SWE,2016,49631.292,46.995
SWE,2017,51167.191,47.827
SWE,2018,52184.407,48.634
SWE,2019,52524.083,48.804
SWE,2020,NA,NA
SWE,2021,NA,NA
SWE,2022,NA,NA
CHE,1984,23109.864,33.239
CHE,1985,23736.135,34.075
CHE,1986,24362.851,34.777
CHE,1987,24999.83,35.495
CHE,1988,25712.239,36.119
CHE,1989,26813.022,37.299
CHE,1990,27810.854,38.159
CHE,1991,28090.978,38.158
CHE,1992,28073.248,37.938
CHE,1993,28101.511,37.619
CHE,1994,28457.396,37.864
CHE,1995,28811.88,37.959
CHE,1996,29174.933,38.373
CHE,1997,29950.427,39.19
CHE,1998,31094.706,40.451
CHE,1999,31795.999,41.134
CHE,2000,32608.826,42.208
CHE,2001,33233.992,42.74
CHE,2002,34623.921,44.09
CHE,2003,35068.274,44.478
CHE,2004,36010.005,45.295
CHE,2005,37431.152,46.618
CHE,2006,39123.792,48.41
CHE,2007,41083.736,50.126
CHE,2008,42360.273,51.129
CHE,2009,42446.708,50.844
CHE,2010,43358.987,51.349
CHE,2011,44716.241,52.321
CHE,2012,45463.54,52.442
CHE,2013,46429.621,53.1
CHE,2014,47308.768,53.504
CHE,2015,48177.511,53.812
CHE,2016,49098.367,54.22
CHE,2017,50634.262,55.473
CHE,2018,51725.205,56.046
CHE,2019,51953.132,56.11
CHE,2020,NA,NA
CHE,2021,NA,NA
CHE,2022,NA,NA
GHA,1984,3015.151,2.196
GHA,1985,3161.579,2.223
GHA,1986,3317.247,2.257
GHA,1987,3473.363,2.298
GHA,1988,3659.178,2.359
GHA,1989,3811.786,2.395
GHA,1990,3999.965,2.447
GHA,1991,4205.108,2.5
GHA,1992,4305.705,2.505
GHA,1993,4399.481,2.502
GHA,1994,4565.883,2.533
GHA,1995,4757.063,2.575
GHA,1996,4961.624,2.623
GHA,1997,5200.345,2.692
GHA,1998,5398.019,2.738
GHA,1999,5647.224,2.802
GHA,2000,5920.544,2.869
GHA,2001,6068.195,2.876
GHA,2002,6348.603,2.937
GHA,2003,6688.2,3.015
GHA,2004,7033.177,3.102
GHA,2005,7413.233,3.191
GHA,2006,7792.156,3.284
GHA,2007,8307.64,3.404
GHA,2008,8983.719,3.586
GHA,2009,9455.027,3.696
GHA,2010,10186.872,3.886
GHA,2011,11537.394,4.278
GHA,2012,12649.929,4.57
GHA,2013,13494.78,4.761
GHA,2014,14040.795,4.848
GHA,2015,14321.934,4.878
GHA,2016,14720.202,4.942
GHA,2017,15660.306,5.164
GHA,2018,16689.209,5.39
GHA,2019,17712.048,5.608
GHA,2020,NA,NA
GHA,2021,NA,NA
GHA,2022,NA,NA
ZAF,1984,31466.316,9.033
ZAF,1985,31537.443,8.829
ZAF,1986,31495.184,8.637
ZAF,1987,32299.053,8.629
ZAF,1988,33260.329,8.657
ZAF,1989,33872.629,8.599
ZAF,1990,34120.426,8.482
ZAF,1991,33848.588,8.266
ZAF,1992,33855.227,8.072
ZAF,1993,34474.813,8.034
ZAF,1994,35500.588,8.101
ZAF,1995,36917.457,8.241
ZAF,1996,38263.767,8.383
ZAF,1997,39178.009,8.453
ZAF,1998,40175.274,8.543
ZAF,1999,40935.479,8.623
ZAF,2000,42529.276,8.848
ZAF,2001,44234.035,9.067
ZAF,2002,45936.963,9.3
ZAF,2003,47571.23,9.516
ZAF,2004,49385.436,9.786
ZAF,2005,52301.6,10.186
ZAF,2006,55021.033,10.58
ZAF,2007,57726.662,10.946
ZAF,2008,59453.768,11.116
ZAF,2009,59738.146,11.055
ZAF,2010,61116.376,11.174
ZAF,2011,63203.78,11.374
ZAF,2012,64679.203,11.512
ZAF,2013,65963.911,11.6
ZAF,2014,66791.682,11.59
ZAF,2015,67798.492,11.594
ZAF,2016,68612.16,11.568
ZAF,2017,69203.485,11.53
ZAF,2018,69542.681,11.435
ZAF,2019,69786.212,11.345
ZAF,2020,NA,NA
ZAF,2021,NA,NA
ZAF,2022,NA,NA
JPN,1984,286658.742,22.552
JPN,1985,296807.351,23.234
JPN,1986,311074.105,24.283
JPN,1987,328760.853,25.47
JPN,1988,351090.24,27.026
JPN,1989,372522.113,28.487
JPN,1990,396244.293,30.095
JPN,1991,413487.394,31.338
JPN,1992,423772.456,31.956
JPN,1993,428620.983,32.323
JPN,1994,437582.215,32.897
JPN,1995,451472.471,33.692
JPN,1996,464541.659,34.483
JPN,1997,468327.058,34.803
JPN,1998,467669.633,34.715
JPN,1999,467502.636,34.734
JPN,2000,475248.597,35.141
JPN,2001,477948.211,35.263
JPN,2002,479096.279,35.437
JPN,2003,487410.735,35.837
JPN,2004,493841.241,36.325
JPN,2005,500787.577,36.684
JPN,2006,506169.28,37.068
JPN,2007,508831.141,37.27
JPN,2008,502658.717,36.766
JPN,2009,489330.544,35.875
JPN,2010,495866.654,36.421
JPN,2011,493482.172,36.294
JPN,2012,499635.085,36.698
JPN,2013,505497.605,37.207
JPN,2014,508540.937,37.546
JPN,2015,514958.455,38.057
JPN,2016,517966.831,38.367
JPN,2017,522168.867,38.83
JPN,2018,524463.399,39.001
JPN,2019,524374.91,39.061
JPN,2020,NA,NA
JPN,2021,NA,NA
JPN,2022,NA,NA
MMR,1984,4178.714,1.101
MMR,1985,4240.348,1.099
MMR,1986,4202.247,1.068
MMR,1987,4032.838,1.012
MMR,1988,3834.135,0.947
MMR,1989,3817.821,0.927
MMR,1990,3778.157,0.902
MMR,1991,3838.788,0.903
MMR,1992,4093.4,0.947
MMR,1993,4363.22,0.998
MMR,1994,4663.019,1.048
MMR,1995,4941.015,1.098
MMR,1996,5211.247,1.142
MMR,1997,5471.793,1.186
MMR,1998,5816.887,1.246
MMR,1999,6306.102,1.334
MMR,2000,6933.549,1.445
MMR,2001,7683.675,1.579
MMR,2002,8537.783,1.733
MMR,2003,9663.926,1.938
MMR,2004,10841.116,2.149
MMR,2005,12235.189,2.395
MMR,2006,13772.549,2.667
MMR,2007,15283.34,2.932
MMR,2008,16748.161,3.186
MMR,2009,18514.508,3.475
MMR,2010,20181.323,3.754
MMR,2011,21571.951,3.991
MMR,2012,22372.436,4.139
MMR,2013,24841.334,4.524
MMR,2014,26783.426,4.84
MMR,2015,28220.35,5.074
MMR,2016,29389.3,5.249
MMR,2017,30475.627,5.39
MMR,2018,32062.528,5.619
MMR,2019,32603.621,5.693
MMR,2020,NA,NA
MMR,2021,NA,NA
MMR,2022,NA,NA
RUS,1984,348627.878,16.479
RUS,1985,355941.282,16.755
RUS,1986,363222.148,17.056
RUS,1987,367609.387,17.26
RUS,1988,365359.747,17.314
RUS,1989,349978.264,17.212
RUS,1990,313266.408,16.778
RUS,1991,272035.297,16.345
RUS,1992,244947.75,15.199
RUS,1993,218894.467,13.8
RUS,1994,193436.79,12.262
RUS,1995,181725.665,11.531
RUS,1996,173347.759,11.018
RUS,1997,170562.291,10.875
RUS,1998,167060.903,10.723
RUS,1999,174070.821,11.189
RUS,2000,189203.853,12.168
RUS,2001,198347.659,12.862
RUS,2002,208539.726,13.617
RUS,2003,223701.806,14.698
RUS,2004,242561.935,15.939
RUS,2005,264148.715,17.408
RUS,2006,289133.023,19.079
RUS,2007,316734.709,20.807
RUS,2008,332818.131,21.815
RUS,2009,326551.239,21.602
RUS,2010,341244.052,22.508
RUS,2011,362978.266,23.788
