state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
United Kingdom,Portugal,GBR,PRT,54,-2,39.5,-8,United Kingdom-Portugal,293
United Kingdom,Sweden,GBR,SWE,54,-2,62,15,United Kingdom-Sweden,98
United Kingdom,Germany,GBR,DEU,54,-2,51,9,United Kingdom-Germany,46
Netherlands,Spain,NLD,ESP,52.5,5.75,40,-4,Netherlands-Spain,62
United Kingdom,France,GBR,FRA,54,-2,46,2,United Kingdom-France,257
Belgium,France,BEL,FRA,50.83333333,4,46,2,Belgium-France,160
United Kingdom,Spain,GBR,ESP,54,-2,40,-4,United Kingdom-Spain,75
France,Spain,FRA,ESP,46,2,40,-4,France-Spain,79
France,Portugal,FRA,PRT,46,2,39.5,-8,France-Portugal,96
Spain,Portugal,ESP,PRT,40,-4,39.5,-8,Spain-Portugal,103
United Kingdom,Turkey,GBR,TUR,54,-2,39,35,United Kingdom-Turkey,104
Germany,Turkey,DEU,TUR,51,9,39,35,Germany-Turkey,34
United Kingdom,Italy,GBR,ITA,54,-2,42.83333333,12.83333333,United Kingdom-Italy,168
France,Italy,FRA,ITA,46,2,42.83333333,12.83333333,France-Italy,172
France,Turkey,FRA,TUR,46,2,39,35,France-Turkey,82
Italy,Turkey,ITA,TUR,42.83333333,12.83333333,39,35,Italy-Turkey,72
France,Sweden,FRA,SWE,46,2,62,15,France-Sweden,2
Paraguay,Argentina,PRY,ARG,-23,-58,-34,-64,Paraguay-Argentina,86
Brazil,Argentina,BRA,ARG,-10,-55,-34,-64,Brazil-Argentina,103
Ecuador,Peru,ECU,PER,-2,-77.5,-10,-76,Ecuador-Peru,86
Colombia,Ecuador,COL,ECU,4,-72,-2,-77.5,Colombia-Ecuador,82
Brazil,Uruguay,BRA,URY,-10,-55,-33,-56,Brazil-Uruguay,80
Argentina,Uruguay,ARG,URY,-34,-64,-33,-56,Argentina-Uruguay,80
Ecuador,Chile,ECU,CHL,-2,-77.5,-30,-71,Ecuador-Chile,85
Peru,Chile,PER,CHL,-10,-76,-30,-71,Peru-Chile,86
Germany,Italy,DEU,ITA,51,9,42.83333333,12.83333333,Germany-Italy,117
Germany,Romania,DEU,ROU,51,9,46,25,Germany-Romania,36
Italy,Romania,ITA,ROU,42.83333333,12.83333333,46,25,Italy-Romania,40
Spain,Germany,ESP,DEU,40,-4,51,9,Spain-Germany,33
Spain,Italy,ESP,ITA,40,-4,42.83333333,12.83333333,Spain-Italy,78
United Kingdom,Japan,GBR,JPN,54,-2,36,138,United Kingdom-Japan,31
Guatemala,Honduras,GTM,HND,15.5,-90.25,15,-86.5,Guatemala-Honduras,108
Guatemala,El Salvador,GTM,SLV,15.5,-90.25,13.83333333,-88.91666666,Guatemala-El Salvador,105
Guatemala,Nicaragua,GTM,NIC,15.5,-90.25,13,-85,Guatemala-Nicaragua,108
Guatemala,Costa Rica,GTM,CRI,15.5,-90.25,10,-84,Guatemala-Costa Rica,108
Honduras,El Salvador,HND,SLV,15,-86.5,13.83333333,-88.91666666,Honduras-El Salvador,105
Honduras,Nicaragua,HND,NIC,15,-86.5,13,-85,Honduras-Nicaragua,108
Honduras,Costa Rica,HND,CRI,15,-86.5,10,-84,Honduras-Costa Rica,108
El Salvador,Nicaragua,SLV,NIC,13.83333333,-88.91666666,13,-85,El Salvador-Nicaragua,105
El Salvador,Costa Rica,SLV,CRI,13.83333333,-88.91666666,10,-84,El Salvador-Costa Rica,105
Nicaragua,Costa Rica,NIC,CRI,13,-85,10,-84,Nicaragua-Costa Rica,108
Greece,Bulgaria,GRC,BGR,39,22,43,25,Greece-Bulgaria,30
Bulgaria,Turkey,BGR,TUR,43,25,39,35,Bulgaria-Turkey,43
Germany,Bulgaria,DEU,BGR,51,9,43,25,Germany-Bulgaria,10
United Kingdom,Romania,GBR,ROU,54,-2,46,25,United Kingdom-Romania,6
France,Romania,FRA,ROU,46,2,46,25,France-Romania,21
France,Poland,FRA,POL,46,2,52,20,France-Poland,51
Turkey,Afghanistan,TUR,AFG,39,35,33,65,Turkey-Afghanistan,48
Poland,Romania,POL,ROU,52,20,46,25,Poland-Romania,95
France,Japan,FRA,JPN,46,2,36,138,France-Japan,11
Estonia,Latvia,EST,LVA,59,26,57,25,Estonia-Latvia,25
United Kingdom,Belgium,GBR,BEL,54,-2,50.83333333,4,United Kingdom-Belgium,141
Belgium,Germany,BEL,DEU,50.83333333,4,51,9,Belgium-Germany,35
Belgium,Italy,BEL,ITA,50.83333333,4,42.83333333,12.83333333,Belgium-Italy,135
France,Germany,FRA,DEU,46,2,51,9,France-Germany,37
Italy,Albania,ITA,ALB,42.83333333,12.83333333,41,20,Italy-Albania,15
Greece,Romania,GRC,ROU,39,22,46,25,Greece-Romania,42
Italy,Ethiopia,ITA,ETH,42.83333333,12.83333333,8,38,Italy-Ethiopia,8
Italy,Greece,ITA,GRC,42.83333333,12.83333333,39,22,Italy-Greece,91
Hungary,Turkey,HUN,TUR,47,20,39,35,Hungary-Turkey,31
United Kingdom,Iraq,GBR,IRQ,54,-2,33,44,United Kingdom-Iraq,34
Greece,Turkey,GRC,TUR,39,22,39,35,Greece-Turkey,117
Romania,Turkey,ROU,TUR,46,25,39,35,Romania-Turkey,47
Germany,Poland,DEU,POL,51,9,52,20,Germany-Poland,20
Austria,Hungary,AUT,HUN,47.33333333,13.33333333,47,20,Austria-Hungary,5
Austria,Italy,AUT,ITA,47.33333333,13.33333333,42.83333333,12.83333333,Austria-Italy,5
Hungary,Italy,HUN,ITA,47,20,42.83333333,12.83333333,Hungary-Italy,22
Estonia,Lithuania,EST,LTU,59,26,56,24,Estonia-Lithuania,7
Latvia,Lithuania,LVA,LTU,57,25,56,24,Latvia-Lithuania,7
Iraq,Saudi Arabia,IRQ,SAU,33,44,25,45,Iraq-Saudi Arabia,152
United Kingdom,Egypt,GBR,EGY,54,-2,27,30,United Kingdom-Egypt,21
Spain,Hungary,ESP,HUN,40,-4,47,20,Spain-Hungary,15
Spain,Japan,ESP,JPN,40,-4,36,138,Spain-Japan,1
Germany,Hungary,DEU,HUN,51,9,47,20,Germany-Hungary,17
Germany,Japan,DEU,JPN,51,9,36,138,Germany-Japan,6
Hungary,Japan,HUN,JPN,47,20,36,138,Hungary-Japan,3
Italy,Japan,ITA,JPN,42.83333333,12.83333333,36,138,Italy-Japan,5
Cuba,Haiti,CUB,HTI,21.5,-80,19,-72.41666666,Cuba-Haiti,29
Cuba,Dominican Republic,CUB,DOM,21.5,-80,19,-70.66666666,Cuba-Dominican Republic,29
