country_name,country_text_id,country_id,year,historical_date,project,historical,histname,codingstart,codingend,codingstart_contemp,codingend_contemp,codingstart_hist,codingend_hist,gapstart1,gapstart2,gapstart3,gapend1,gapend2,gapend3,gap_index,COWcode,e_v2x_api_3C,e_v2x_api_4C,e_v2x_api_5C,e_v2x_civlib_3C,e_v2x_civlib_4C,e_v2x_civlib_5C,e_v2x_clphy_3C,e_v2x_clphy_4C,e_v2x_clphy_5C,e_v2x_clpol_3C,e_v2x_clpol_4C,e_v2x_clpol_5C,e_v2x_clpriv_3C,e_v2x_clpriv_4C,e_v2x_clpriv_5C,e_v2x_corr_3C,e_v2x_corr_4C,e_v2x_corr_5C,e_v2x_cspart_3C,e_v2x_cspart_4C,e_v2x_cspart_5C,e_v2x_delibdem_3C,e_v2x_delibdem_4C,e_v2x_delibdem_5C,e_v2x_EDcomp_thick_3C,e_v2x_EDcomp_thick_4C,e_v2x_EDcomp_thick_5C,e_v2x_egal_3C,e_v2x_egal_4C,e_v2x_egal_5C,e_v2x_egaldem_3C,e_v2x_egaldem_4C,e_v2x_egaldem_5C,e_v2x_elecoff_3C,e_v2x_elecoff_4C,e_v2x_elecoff_5C,e_v2x_execorr_3C,e_v2x_execorr_4C,e_v2x_execorr_5C,e_v2x_feduni_3C,e_v2x_feduni_4C,e_v2x_feduni_5C,e_v2x_frassoc_thick_3C,e_v2x_frassoc_thick_4C,e_v2x_frassoc_thick_5C,e_v2x_freexp_3C,e_v2x_freexp_4C,e_v2x_freexp_5C,e_v2x_freexp_altinf_3C,e_v2x_freexp_altinf_4C,e_v2x_freexp_altinf_5C,e_v2x_gencl_3C,e_v2x_gencl_4C,e_v2x_gencl_5C,e_v2x_gencs_3C,e_v2x_gencs_4C,e_v2x_gencs_5C,e_v2x_gender_3C,e_v2x_gender_4C,e_v2x_gender_5C,e_v2x_genpp_3C,e_v2x_genpp_4C,e_v2x_genpp_5C,e_v2x_jucon_3C,e_v2x_jucon_4C,e_v2x_jucon_5C,e_v2x_libdem_3C,e_v2x_libdem_4C,e_v2x_libdem_5C,e_v2x_liberal_3C,e_v2x_liberal_4C,e_v2x_liberal_5C,e_v2x_mpi_3C,e_v2x_mpi_4C,e_v2x_mpi_5C,e_v2x_partip_3C,e_v2x_partip_4C,e_v2x_partip_5C,e_v2x_partipdem_3C,e_v2x_partipdem_4C,e_v2x_partipdem_5C,e_v2x_polyarchy_3C,e_v2x_polyarchy_4C,e_v2x_polyarchy_5C,e_v2x_pubcorr_3C,e_v2x_pubcorr_4C,e_v2x_pubcorr_5C,e_v2x_suffr_3C,e_v2x_suffr_4C,e_v2x_suffr_5C,e_v2xcl_rol_3C,e_v2xcl_rol_4C,e_v2xcl_rol_5C,e_v2xcs_ccsi_3C,e_v2xcs_ccsi_4C,e_v2xcs_ccsi_5C,e_v2xdd_dd_3C,e_v2xdd_dd_4C,e_v2xdd_dd_5C,e_v2xdl_delib_3C,e_v2xdl_delib_4C,e_v2xdl_delib_5C,e_v2xeg_eqdr_3C,e_v2xeg_eqdr_4C,e_v2xeg_eqdr_5C,e_v2xeg_eqprotec_3C,e_v2xeg_eqprotec_4C,e_v2xeg_eqprotec_5C,e_v2xel_frefair_3C,e_v2xel_frefair_4C,e_v2xel_frefair_5C,e_v2xel_locelec_3C,e_v2xel_locelec_4C,e_v2xel_locelec_5C,e_v2xel_regelec_3C,e_v2xel_regelec_4C,e_v2xel_regelec_5C,e_v2xlg_legcon_3C,e_v2xlg_legcon_4C,e_v2xlg_legcon_5C,e_v2xme_altinf_3C,e_v2xme_altinf_4C,e_v2xme_altinf_5C,e_v2xps_party_3C,e_v2xps_party_4C,e_v2xps_party_5C,e_boix_regime,e_democracy_breakdowns,e_democracy_omitteddata,e_democracy_trans,e_fh_cl,e_fh_pr,e_fh_rol,e_fh_status,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_wbgi_rle,e_wbgi_rqe,e_wbgi_vae,e_lexical_index,e_uds_median,e_uds_mean,e_uds_pct025,e_uds_pct975,e_coups,e_legparty,e_autoc,e_democ,e_p_polity,e_polcomp,e_polity2,e_bnr_dem,e_chga_demo,e_ti_cpi,e_vanhanen,e_peaveduc,e_peedgini,e_area,e_regiongeo,e_regionpol,e_regionpol_6C,e_cow_exports,e_cow_imports,e_gdp,e_gdp_sd,e_gdppc,e_gdppc_sd,e_miinflat,e_pop,e_pop_sd,e_total_fuel_income_pc,e_total_oil_income_pc,e_total_resources_income_pc,e_radio_n,e_miferrat,e_mipopula,e_miurbani,e_miurbpop,e_pefeliex,e_peinfmor,e_pelifeex,e_pematmor,e_wb_pop,e_civil_war,e_miinteco,e_miinterc,e_pt_coup,e_pt_coup_attempts
Mexico,MEX,3,1828,1828-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,2,1,-1,6,-1,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,798.357,172.311,1.073,0.182,-11.759,741.883,81.395,NA,0,NA,0,NA,6423,0.158,1017.8,NA,487,26.9,NA,NA,0,0,0,NA,NA
Mexico,MEX,3,1829,1829-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,2,1,-1,6,-1,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,802.401,174.798,1.077,0.187,-11.495,743.063,80.129,NA,0,NA,0,NA,6402.5,0.16,1024,NA,487,26.9,NA,NA,0,1,0,NA,NA
Mexico,MEX,3,1830,1830-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,-1,6,-1,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,811.109,179.188,1.083,0.193,-11.231,746.907,80.521,NA,0,NA,0,NA,6382,0.161,1030.2,NA,487,26.9,NA,NA,0,0,0,NA,NA
Mexico,MEX,3,1831,1831-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,2,1,-1,6,-1,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,816.638,185.682,1.085,0.198,-10.967,750.299,84.549,NA,0,NA,0,NA,6448.2,0.161,1036.4,NA,487,26.9,NA,NA,0,0,0,NA,NA
Mexico,MEX,3,1832,1832-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,-1,6,-1,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,822.037,186.441,1.085,0.204,-10.703,755.957,82.311,NA,0,NA,0,NA,6514.4,0.16,1042.6,NA,487,26.9,NA,NA,1,0,1,NA,NA
Mexico,MEX,3,1833,1833-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,2,1,-1,6,-1,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,823.865,175.531,1.083,0.197,-10.439,760.382,82.419,NA,0,NA,0,NA,6580.6,0.159,1048.8,NA,487,26.9,NA,NA,0,0,1,NA,NA
Mexico,MEX,3,1834,1834-12-31,1,1,United states of Mexico,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,-1,-88,-88,-88,-88,-2,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,833.779,180.739,1.088,0.203,-10.175,766.241,86.624,NA,0,NA,0,NA,6646.8,0.159,1055,NA,487,26.9,NA,NA,0,0,1,NA,NA
Mexico,MEX,3,1835,1835-12-31,1,1,Mexican Republic [Including Texas],1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,1,1,0.75,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0.5,0.333,0.25,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,0.667,0.75,1,0.667,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,4,1,-3,6,-3,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,843.384,181.49,1.092,0.196,-9.911,772.089,87.452,NA,0,NA,0,NA,6713,0.158,1061.2,NA,487,26.9,NA,NA,1,0,0,NA,NA
Mexico,MEX,3,1836,1836-12-31,1,1,Mexican Republic [Including Texas],1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.667,0.75,0.5,0.333,0.5,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,4,1,-3,6,-3,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,842.246,177.506,1.086,0.188,-9.646,774.805,85.158,NA,0,NA,0,NA,6779.2,0.157,1067.4,NA,487,26.9,NA,NA,1,0,0,NA,NA
Mexico,MEX,3,1837,1837-12-31,1,1,Mexican Republic,1789,2022,1900,2022,1789,1920,NA,NA,NA,NA,NA,NA,1,70,0,0,0.25,0.5,0.333,0.5,0.5,0.333,0.25,1,0.667,0.5,0.5,0.333,0.5,1,0.667,0.75,0.5,0.333,0.25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.5,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,1,0.667,0.5,1,0.667,0.5,0.5,0.333,0.25,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.333,0.25,0,0,0,0.5,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.667,0.75,0,0,0,0.5,0.333,0.25,0.5,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0.75,0.5,0.333,0.5,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,4,1,-3,6,-3,NA,NA,NA,0,NA,NA,NA,17,2,2,NA,NA,842.788,176.666,1.079,0.183,-9.382,780.33,87.208,NA,0,NA,0,NA,6845.4,0.157,1073.6,NA,487,26.9,NA,NA,0,0,0,NA,NA
